titles,category
윤홍근     회장  공채 신입사원 사령장 전달  글로벌 인재로 역할 ,Living_economy
      편의점 맞춤형 신형     도입   금융 서비스 기능 강화 ,Living_economy
세븐일레븐  인기 위스키  종  위스키런 행사 진행,Living_economy
     여개 브랜드 최대       무신사   설날 빅세일  진행,Living_economy
설 연휴 여행부터 공연  체험까지 위메프에서 한번에,Living_economy
빙판길에 쓰러진 어르신  새벽배송 하던  쿠팡친구 가 구했다,Living_economy
해태  겨울 한정판  후렌치파이 감귤 마말레이드  출시,Living_economy
이통사 경쟁 유도해 폰값 낮추기   가격인하 기대      소수만 이익    문  답 ,Living_economy
남양유업  우수기업연구소  지정  품질 초격차 기술력 선도 ,Living_economy
    주류 플랫폼 데일리샷과 손잡고 주류 픽업 서비스 확대,Living_economy
이랜드파크 켄싱턴리조트 지리산하동  프라이빗 사우나 객실 오픈,Living_economy
      임직원 기부 통한 사회공헌기금 누적    억원 돌파,Living_economy
교촌치킨   교촌    스쿨  점보원정대  띄웠다,Living_economy
신라스테이  대학생 서포터즈와  제주 플로깅  성료,Living_economy
스타벅스  봄 알리는  화이트 타로 라테  출시,Living_economy
올해 설 연휴  해외 여행 수요 폭증  일본 베트남 등 중단거리 인기 ,Living_economy
에이블씨엔씨 셀라피  소비자 요청에  에이리페어 크림 대용량  출시,Living_economy
 얼음도 잘 갈리네  테팔  블렌더  퍼펙트 믹스 플러스  출시,Living_economy
 영유아 노래 강좌 확대  갤러리아   문화센터 봄학기  회원 모집,Living_economy
    데일리샷과 손잡고  주류 픽업  서비스 확대,Living_economy
 임산부 친환경농산물 꾸러미 신청하세요  경기   월 일부터 신청접수,Living_economy
       편의점 최적화  신형     도입  금융 서비스 강화,Living_economy
도미노피자   배달비 무료 포장     할인  프로모션 연장,Living_economy
 온도 시간 알아서 척척  풀무원  에어프라이어 선봬,Living_economy
이랜드파크 켄싱턴리조트 지리산하동  프라이빗 사우나 객실 오픈,Living_economy
대박친 편의점  얼음컵    비비빅  누가바 매출 제쳤다,Living_economy
 가지마 푸바오  에버랜드 바오 하우스  오픈 열흘간 연일 매진,Living_economy
 전통시장 상품 주문하세요  배민  전통시장 서비스 운영,Living_economy
