titles,category
핑거     억원 규모    플랫폼 계약 수주,Securities
 건설만 아니면 된다    년차 연구원  비추  이유는,Securities
절규하는 기업인들     년 뒤면   기업 모두 공중분해       플러스 ,Securities
코케비즈  생두 업체 한 눈에 비교 가능한  생두 구매 서비스  출시,Securities
김성환 한투   첫 경영전략회의 개최  리더는 솔선수범해 성과 보여야 ,Securities
 특징주 정유  약세 중동 지정학 긴장에 국제유가 ,Securities
         미국나스닥테크        년 수익률     돌파,Securities
 특징주      악성 루머 해명 이후   대 반등,Securities
대유플러스  회생계획 인가 전     추진에  ,Securities
 개미의 힘  코스닥     선 회복  차전지주 강세,Securities
월가 베테랑  테슬라 아닌 비야디 볼보 니오가 더 매력적 ,Securities
 코스닥               오른        출발,Securities
대우건설  작년 영업익     억 전년비         주목  공시 ,Securities
 코스피                오른         출발,Securities
코스피     상승하며     선 환율      원대 초반으로 하락,Securities
핑거  신한은행과    억 규모 공급계약 체결,Securities
 코스닥 개장       포인트        오른        출발,Securities
       머니마켓액티브      파킹형     중    개월 수익률  위,Securities
코스피  장초반       상승        선 코스닥         보 ,Securities
코스피       대서 상승 출발 코스닥도 올라,Securities
 기술주   개 담은        년 수익률    ,Securities
휴니드    방산기업과 차세대 글로벌   통신사업 협력,Securities
코스피             포인트  오른         출발,Securities
 인기몰이  파킹형      옥석 가려야 투자시 유리,Securities
   마켓워치 기후테크  인비저닝파트너스      억 펀드 결성,Securities
 더블유씨피  작년  분기 일시적 부진 수익성 개선 전망 ,Securities
미래에셋자산운용  국내 반도체 투자            종 순자산  조원 돌파,Securities
 코스피 개장        포인트        오른         출발,Securities
코스피                  코스닥                 원 달러 환율       원     원  개장 시황 ,Securities
고꾸라진  차전지     수익률   저점 매수 타이밍 ,Securities
포바이포  인니 온라인 교육 플랫폼과     화질   솔루션 해외진출,Securities
 클릭  종목  금호석유 낮은     주목 목표가 유지 ,Securities
코스닥     포인트        오른        출발,Securities
코스닥       오른        출발        ,Securities
코스피        오른         출발         ,Securities
 코스피                오른         출발,Securities
코스피      포인트        오른         출발,Securities
 코스닥               오른     출발,Securities
 대형 게임주도 저평가 주주환원책 강화될 것  미래,Securities
 달러 원  환율    원 내린       원 출발,Securities
 스팟 코스닥     포인트        오른        출발,Securities
원 달러 환율    원 내린       원 출발,Securities
 스팟 코스피      포인트        오른         출발,Securities
삼성   국내 최초 패밀리오피스 전담      패밀리오피스센터  개설,Securities
삼성증권  국내 최초 패밀리오피스 전담 지점 오픈,Securities
저스템  과기부  최우수 기업연구소  선정,Securities
삼성운용        순자산   조 돌파,Securities
 데이터로 보는 증시 해외 주요 증시 동향  월   일 ,Securities
대우건설 매출     조원 달성  전년 대비       성장,Securities
셀바스    스마트안전 관제 분야 음성인식 적용 확대,Securities
 예탁자산   조  패밀리오피스 삼성   전담지점 오픈,Securities
         미국나스닥테크       년 수익률     돌파,Securities
   바이오팜  흑자기조 올해도 지속 목표가   키움,Securities
신한   롯데정보통신  자회사 칼리버스 실적 개선 기대  목표가 상향 ,Securities
     대표적 저    종목  기업 밸류업  수혜 기대감 키움,Securities
핑거      플랫폼 기술검증 완료,Securities
     극도로 저평가 코리아 디스카운트 해소 정책 긍정적 ,Securities
빗썸  대학생 서포터즈  썸즈업   기 발대식    세 달간 아이디어 제안,Securities
두산에너빌리티  가스터빈 로터  기 수명   년 연장 계약,Securities
삼표피앤씨 청주공장  안전개선 활동 모범사례 현장 선정,Securities
마스턴    컨설팅과 함께     공시 트렌드 워크숍 개최,Securities
       머니마켓액티브  파킹형     중 수익률  위   연    웃돌아,Securities
       바이오팜  시장 예상 뛰어넘는 실적 흑자 전환 성공 ,Securities
리노스   폴라리스   로 사명 변경,Securities
한화운용  아리랑 미국나스닥테크        년 수익률     돌파,Securities
신한   롯데정보통신  올해도 신규 사업 성장 가속화 목표가  ,Securities
 클릭  종목  금호석유  주주환원 증가 가능성에 목표가   만    원 으로 상향,Securities
휴맥스네트웍스  키움증권과     주관 계약,Securities
 올해는 다르다 통신주  비중 축소 권고  이슈 전략 ,Securities
코람코  인천 정비사업 마수걸이 수주 조합과 시너지 빛났다,Securities
국내 반도체 투자           순자산  조원 국내 운용사 중 최대,Securities
비피도  베트남 제약 파트너사와 협력 미팅,Securities
올라운드코퍼레이션  작년 매출액   억원 전년       ,Securities
제우스   세미콘코리아      서 차세대 로봇 시제품 최초 공개,Securities
    년 글로벌    규모   조 달러 생성형   선제투자에 현대            주목,Securities
현대미포조선     분기 대규모 적자   매수 타이밍은  여름  다올,Securities
삼성자산운용       순자산   조 돌파,Securities
부국   하나투어  실적 정상화에 배당 매력  목표가  만    만 ,Securities
삼성자산운용      순자산   조 돌파    개월만에   조 ,Securities
삼성운용       순자산   조 돌파  국민 재테크 자리매김 ,Securities
     에스엠  신규 팬덤 유입 둔화  목표가     하향 ,Securities
비피도  베트남 제약 파트너사 빈푸파마와 협력 논의,Securities
  바이오팜  성장률 확대에 집중 작년    흑자전환   ,Securities
에스엠  모든 우려는 주가에 반영 목표가   만     만원  하향 ,Securities
효성티앤씨  가격 등 주요 지표 저점 실적 개선 기대   ,Securities
예상치 밑돈 미 재무부 국발계  전날 약세 일부 되돌림 전망 채권브리핑 ,Securities
           원       원     원 하락,Securities
티웨이항공  단거리 노선 수요 호조 목표가    ,Securities
리노스  폴라리스  로 사명 변경     사업 확장 ,Securities
핑거      사업 통해     플랫폼 구축,Securities
월말 네고와 위험선호 회복 환율     원 지지력 테스트 외환브리핑 ,Securities
에스엠  긴 호흡으로 접근   ,Securities
 저    투자전략 긴호흡 가져야 실적 개선주 주목 ,Securities
고금리 지속에 파킹형      인기몰이   우등생 골라내야 유리 ,Securities
  증권  펄어비스 목표가 투자의견   올해 영업적자 지속 ,Securities
 금호석유  업종 내 차별화된 재무 건전성    매력적인      한국투자,Securities
 풍산  방산 호재에 올해 저평가에서 벗어날 것  목표가 유지,Securities
      분기 영업익   억   면세점 경쟁력 회복 ,Securities
코스피만 가면  급락 열차   호재 아니었어   개미들 울상,Securities
위티            스타트업 창업주 성공 돕는      행사 성료,Securities
   바이오팜  올해 영업익 흑자기조 이어질 것  목표가 ,Securities
한화오션  턴어라운드 준비 움직임에 주목할 때 신영,Securities
   마켓워치 더벤처스      년에   억 투자,Securities
