titles,category
 의류 세탁 보관을 한 번에  세탁특공대  서비스 론칭 중기소식 ,Venture_company
스타트업      플랫폼법  생태계에 부정적 영향 ,Venture_company
한국화장품 솔고 바이오 메디컬  방문판매 협력 강화    ,Venture_company
원광에스앤티에 한화진 환경부 장관 방문 미래폐자원 규제 논의,Venture_company
소진공 충북도 근로복지공단  자영업자 고용보험료 지원 확대 업무협약,Venture_company
     자랑스러운 기업 기관 인물    소비자가 좋아하는 브랜드 대상 공모,Venture_company
기정원        지역사회 상생 위한 행복상자    개 기부,Venture_company
엠마슬립        클리어런스 세일  독일 매트리스     저렴하게,Venture_company
 국민 안전 최우선  조달청  안전관리물자 점검 강화한다,Venture_company
강희수 요기요 본부장  타다 운전대 잡고  부르릉 ,Venture_company
강원랜드  복합리조트 경쟁력 강화 특위 발족  위기는 곧 기회  종합 ,Venture_company
국내  위 바버샵 브랜드  마제스티   수원 스타필드점 오픈,Venture_company
과기정통부  작년 하반기 우수기업연구소    지정,Venture_company
   솔루션        독일 암비엔테  참가,Venture_company
소공연 법제처  소상공인 경영활동 저해 규정 개선 위해  맞손 ,Venture_company
 르포  오전 문의 전화만    건  저신용 소상공인 정책대출  쇄도 ,Venture_company
텃밭 농사 지을 때 딱인데 북미 시장 뚫으러 간   농기계 ,Venture_company
초고속 반도체 검사용 초미세 기판  처음 국산화에 성공한      민지혜의 알토란    ,Venture_company
한샘  호텔침대 신제품  종 출시,Venture_company
    억 신규 벤처펀드 결성한 소프트뱅크벤처스      로 새출발,Venture_company
휴롬 착즙기     키친 이노베이션   년 연속 수상,Venture_company
중기부  중소기업 인력난 해소위해 특성화고에 집중 지원,Venture_company
  년 게임 개발 베테랑이 창업한 앵커노드  시드투자 유치,Venture_company
 인력난 풀자   취업중심 특성화고     개교 집중지원,Venture_company
중기부  올해    특성화고    개교 운영,Venture_company
중기부  예비 초기 도약 창업패키지 참여기업 모집,Venture_company
 예비 초기 도약  창업패키지 모집 사업화 전과정 지원,Venture_company
중기부     개 취업 중심 특성화 육성,Venture_company
올해 중소기업 특성화고    곳 지원 신기술 중점지원학교 확대,Venture_company
중기부  올해 예비창업자 창업기업  천   개에 사업화자금 지원,Venture_company
 스타트업에 최대  억 쏜다  중기부  예 초 도     곳 모집,Venture_company
 중소기업 인력난 해소  중기부  특성화고 집중 지원,Venture_company
올해 창업기업     개 선발 사업화 전 과정 지원,Venture_company
 사업화 전 과정 지원  예비 초기 도약창업패키지 참여 기업 모집,Venture_company
중기부  취업 중심 특성화고    개교 선정  인력난 해소 지원 ,Venture_company
  인테리어 위상 알렸다    글라스 홈씨씨 인테리어  북미 최대 바닥재 전시회             참가 성료,Venture_company
      하나은행과 취약계층 겨울나기  행복상자     개 전달,Venture_company
교원 여행이지   브랜드 명예의전당   년연속  위,Venture_company
 공영라방  작년 취급액  배 성장 소상공인 디지털 판로 확 넓혔다,Venture_company
 스마트팩토리    기술력 세계 톱티어급 ,Venture_company
중진공  전남 광양에    재직자 특화 연수원 건립,Venture_company
최철규 강원랜드 부사장  오사카 복합리조트 개장은 위기이자 기회 ,Venture_company
  비에스텍  경산시 신공장 증축 통 큰 성금으로 지역주민들 위한 따뜻한 손길 이어가,Venture_company
아바코     분기 영업이익    억  흑자전환 일궈 ,Venture_company
포스코 사내벤처 출신  포스코어     억원 시드투자 유치,Venture_company
   운송 플랫폼 운영사 와이오엘  기술신용평가    등급 획득,Venture_company
 호텔 같은 침실  한샘  호텔침대  종 출시,Venture_company
인공지능 피트니스 플랫폼 하이랙스  네 번째 직영센터 여의도점 오픈,Venture_company
조달청 신임 차장에 백승보 서울조달청장 임명,Venture_company
홈씨씨 인테리어  북미 최대 바닥재 전시회             참가 성료,Venture_company
울주군 창업 일자리종합지원센터 본격 운영 돌입,Venture_company
 연구개발특구 발전에 기여  기보  국무총리 표창 수상 중기소식 ,Venture_company
고트만      년형 트라이탄 밀폐용기 출시,Venture_company
    엔터테인먼트  숏폼 드라마 앱 릴숏           과 업무 협약 체결,Venture_company
이응우 계룡시장   산업단지 입주업체 방문 애로사항 청취,Venture_company
범우화학   스마트 생태 공장 구축 사업  성료,Venture_company
 쫌아는기자들  패러닷  혁신 끝났다는 카메라    시장의 끝 에서   로 도전,Venture_company
